,demand_forecast
2023-01-08 08:00:00,7619.0596
2023-01-08 09:00:00,8266.687
2023-01-08 10:00:00,8778.818
2023-01-08 11:00:00,9028.36
2023-01-08 12:00:00,9162.495
2023-01-08 13:00:00,9083.25
2023-01-08 14:00:00,8948.827
2023-01-08 15:00:00,8903.51
2023-01-08 16:00:00,8992.681
2023-01-08 17:00:00,9687.209
2023-01-08 18:00:00,9699.79
2023-01-08 19:00:00,9564.836
2023-01-08 20:00:00,9289.406
2023-01-08 21:00:00,9016.431
2023-01-08 22:00:00,8607.738
2023-01-08 23:00:00,8276.707
2023-01-09 00:00:00,8012.5674
2023-01-09 01:00:00,7934.6587
2023-01-09 02:00:00,7638.534
2023-01-09 03:00:00,7841.6772
2023-01-09 04:00:00,7952.687
2023-01-09 05:00:00,8736.977
2023-01-09 06:00:00,9818.39
2023-01-09 07:00:00,10638.98
2023-01-09 08:00:00,10815.09
2023-01-09 09:00:00,11241.564
2023-01-09 10:00:00,11589.364
2023-01-09 11:00:00,12052.368
2023-01-09 12:00:00,12074.529
2023-01-09 13:00:00,11857.408
2023-01-09 14:00:00,11720.848
2023-01-09 15:00:00,11526.142
2023-01-09 16:00:00,11688.8
2023-01-09 17:00:00,12046.729
2023-01-09 18:00:00,12226.841
2023-01-09 19:00:00,12093.516
2023-01-09 20:00:00,11215.108
2023-01-09 21:00:00,10590.042
2023-01-09 22:00:00,10170.758
2023-01-09 23:00:00,9540.229
2023-01-10 00:00:00,9120.526
2023-01-10 01:00:00,8884.874
2023-01-10 02:00:00,8701.874
2023-01-10 03:00:00,8771.968
2023-01-10 04:00:00,9041.602
2023-01-10 05:00:00,9922.613
2023-01-10 06:00:00,10419.515
2023-01-10 07:00:00,11251.983
2023-01-10 08:00:00,11360.376
2023-01-10 09:00:00,11991.794
2023-01-10 10:00:00,12472.8545
2023-01-10 11:00:00,12672.516
2023-01-10 12:00:00,12651.751
2023-01-10 13:00:00,12346.823
2023-01-10 14:00:00,12212.25
2023-01-10 15:00:00,12113.452
2023-01-10 16:00:00,12147.593
2023-01-10 17:00:00,12267.862
2023-01-10 18:00:00,12465.096
2023-01-10 19:00:00,12396.919
2023-01-10 20:00:00,11629.861
2023-01-10 21:00:00,10827.092
2023-01-10 22:00:00,10473.772
2023-01-10 23:00:00,10319.762
2023-01-11 00:00:00,9492.285
2023-01-11 01:00:00,8830.574
2023-01-11 02:00:00,8684.306
2023-01-11 03:00:00,8684.458
2023-01-11 04:00:00,9015.091
2023-01-11 05:00:00,9810.793
2023-01-11 06:00:00,10526.686
2023-01-11 07:00:00,11458.167
2023-01-11 08:00:00,11756.674
2023-01-11 09:00:00,12140.174
2023-01-11 10:00:00,12422.71
2023-01-11 11:00:00,12562.325
2023-01-11 12:00:00,12399.094
2023-01-11 13:00:00,12246.881
2023-01-11 14:00:00,12114.925
2023-01-11 15:00:00,12204.083
2023-01-11 16:00:00,12213.074
2023-01-11 17:00:00,12232.951
2023-01-11 18:00:00,12346.927
2023-01-11 19:00:00,12182.41
2023-01-11 20:00:00,11375.27
2023-01-11 21:00:00,10678.839
2023-01-11 22:00:00,10175.716
2023-01-11 23:00:00,10019.171
2023-01-12 00:00:00,9659.951
2023-01-12 01:00:00,9188.233
2023-01-12 02:00:00,9123.583
2023-01-12 03:00:00,9175.115
2023-01-12 04:00:00,9602.53
2023-01-12 05:00:00,10237.382
2023-01-12 06:00:00,10931.192
2023-01-12 07:00:00,11977.254
2023-01-12 08:00:00,12145.9795
2023-01-12 09:00:00,12501.906
2023-01-12 10:00:00,12589.527
2023-01-12 11:00:00,12664.9
2023-01-12 12:00:00,12563.992
2023-01-12 13:00:00,12283.588
2023-01-12 14:00:00,12273.39
2023-01-12 15:00:00,12256.624
2023-01-12 16:00:00,12179.66
2023-01-12 17:00:00,12417.354
2023-01-12 18:00:00,12439.501
2023-01-12 19:00:00,12320.76
2023-01-12 20:00:00,11629.918
2023-01-12 21:00:00,10910.913
2023-01-12 22:00:00,10474.296
2023-01-12 23:00:00,10255.588
2023-01-13 00:00:00,9979.747
2023-01-13 01:00:00,9714.801
2023-01-13 02:00:00,9578.693
2023-01-13 03:00:00,9315.034
2023-01-13 04:00:00,9574.205
2023-01-13 05:00:00,10039.744
2023-01-13 06:00:00,10961.461
2023-01-13 07:00:00,11942.632
2023-01-13 08:00:00,12184.551
2023-01-13 09:00:00,12205.09
2023-01-13 10:00:00,12428.842
2023-01-13 11:00:00,12496.636
2023-01-13 12:00:00,12148.163
2023-01-13 13:00:00,11952.509
2023-01-13 14:00:00,11788.483
2023-01-13 15:00:00,11880.604
2023-01-13 16:00:00,11789.995
2023-01-13 17:00:00,11889.599
2023-01-13 18:00:00,11951.629
2023-01-13 19:00:00,11723.286
2023-01-13 20:00:00,11304.632
2023-01-13 21:00:00,10790.212
2023-01-13 22:00:00,10013.512
2023-01-13 23:00:00,9818.85
2023-01-14 00:00:00,8815.332
2023-01-14 01:00:00,8674.349
2023-01-14 02:00:00,8654.219
2023-01-14 03:00:00,8590.957
2023-01-14 04:00:00,8466.568
2023-01-14 05:00:00,8453.945
2023-01-14 06:00:00,8687.646
2023-01-14 07:00:00,9034.778
2023-01-14 08:00:00,9281.344
2023-01-14 09:00:00,9843.2
2023-01-14 10:00:00,10475.396
2023-01-14 11:00:00,10568.7
